Time_sec,Neural_Amp_OpenLoop,Neural_Amp_ClosedLoop,Bio_Gamma,Artificial_Gamma_u,Total_System_Chi
18.01,-0.011062724939160433,-0.0010688522281298084,0.1,11.209733552923247,0.8999999999999992
18.02,-0.009538382539816129,-0.0010124312917114237,0.1,11.209733552923247,0.8999999999999992
18.03,-0.008013328796298996,-0.0009938148326825555,0.1,11.209733552923247,0.8999999999999992
18.04,-0.006533850472093888,-0.0010490661414988781,0.1,11.209733552923247,0.8999999999999992
18.05,-0.005120214002275608,-0.0011840841111935005,0.1,11.209733552923247,0.8999999999999992
18.06,-0.003766984171416869,-0.001378364128715331,0.1,11.209733552923247,0.8999999999999992
18.07,-0.0023868797804155947,-0.0015318736978898666,0.1,11.209733552923247,0.8999999999999992
18.080000000000002,-0.0009732962189695604,-0.0016365378976947822,0.1,11.209733552923247,0.8999999999999992
18.09,0.0003636566432719435,-0.0018019635978230144,0.1,11.209733552923247,0.8999999999999992
18.1,0.0017425888094722427,-0.0018968143091926092,0.1,11.209733552923247,0.8999999999999992
18.11,0.0030891095260488673,-0.0019976023876757997,0.1,11.209733552923247,0.8999999999999992
18.12,0.004429428056918696,-0.00207176573430334,0.1,11.209733552923247,0.8999999999999992
18.13,0.005831530619612478,-0.002048751369336881,0.1,11.209733552923247,0.8999999999999992
18.14,0.007254051085429477,-0.001975409755721131,0.1,11.209733552923247,0.8999999999999992
18.150000000000002,0.008633084652577974,-0.0019159908104564205,0.1,11.209733552923247,0.8999999999999992
18.16,0.009932097522775733,-0.0019002875723177395,0.1,11.209733552923247,0.8999999999999992
18.17,0.011083010260667697,-0.0019864490640033564,0.1,11.209733552923247,0.8999999999999992
18.18,0.012153060449121244,-0.002090981399946376,0.1,11.209733552923247,0.8999999999999992
18.19,0.013163505715886812,-0.0021859930554679755,0.1,11.209733552923247,0.8999999999999992
18.2,0.014071614123449143,-0.002310988167591021,0.1,11.209733552923247,0.8999999999999992
18.21,0.014916699068376007,-0.002419286098337499,0.1,11.209733552923247,0.8999999999999992
18.22,0.015705892754995895,-0.002501942268835824,0.1,11.209733552923247,0.8999999999999992
18.23,0.01642105006953566,-0.002576615773605033,0.1,11.209733552923247,0.8999999999999992
18.240000000000002,0.017038164390504994,-0.0026651719616397527,0.1,11.209733552923247,0.8999999999999992
18.25,0.01759583035384969,-0.0027247582699958797,0.1,11.209733552923247,0.8999999999999992
